PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan,Induction_Power:
148.77,126,1681.58,148,86,0.37,1,40%
148.95,126.25,1415.71,148,87,0.36,1,40%
148.77,126.21,1255.71,148,86,0.36,1,40%
150.1,127.05,1233.94,148,87,0.35,1,40%
151.17,127.48,1451.76,149,86,0.36,1,40%
150.88,127.22,1409.77,149,87,0.37,1,40%
151.88,127.93,1470.02,149,87,0.36,1,40%
152.9,127.97,1451.76,149,86,0.37,1,40%
153.11,128.06,1476.15,150,86,0.35,1,40%
152.69,128.51,1470.02,150,86,0.36,1,40%
153.53,128.65,1488.44,150,87,0.36,1,40%
154.38,128.79,1494.62,150,87,0.36,1,40%
24.12,22.92,63.57,13,112,0.34,0,
24.8,23.72,86.71,14,150,0.34,0,
25.08,24.02,70.11,15,175,0.34,0,
23.82,23.12,62.15,16,178,0.35,0,
23.82,23.82,85.4,16,181,0.34,0,
24.12,23.32,-20.39,17,185,0.35,0,
23.32,22.92,60.32,17,188,0.33,0,
24.51,23.92,57.26,17,189,0.33,0,
25.18,23.32,18.69,18,189,0.35,0,
24.8,22.71,67.01,18,189,0.36,0,
23.82,23.72,43.7,18,189,0.34,0,
24.89,24.31,63.09,18,189,0.35,0,
25.18,24.12,68.03,19,189,0.37,0,
25.18,24.31,62.62,19,189,0.36,0,
25.28,24.6,70.11,19,189,0.35,0,
25.46,23.12,56.41,19,188,0.35,0,
25.46,23.62,67.51,19,189,0.35,0,
25.56,24.7,66.5,19,188,0.37,0,
25.46,23.12,62.15,19,188,0.35,0,
25.56,23.22,67.01,19,189,0.33,0,
25.65,23.22,53.57,19,189,0.35,0,
24.8,24.12,66,19,189,0.34,0,
25.46,25.18,86.71,20,189,0.37,0,
25.65,25.46,38.99,20,189,0.36,0,
26.76,25.75,125.49,20,189,0.35,0,
27.12,25.37,67.01,20,189,0.34,0,
26.12,25.56,60.77,20,189,0.37,0,
27.48,24.51,66,20,189,0.36,0,
28.35,26.76,59.87,20,189,0.34,0,
26.94,25.75,115.58,20,189,0.36,0,
28.69,26.94,66,20,189,0.34,0,
28.35,26.76,53.57,20,189,0.35,0,
28.61,26.94,66.5,20,189,0.36,0,
29.2,26.03,62.62,20,188,0.35,0,
29.12,26.4,65.51,20,188,0.35,0,
30.51,27.83,63.09,20,178,0.36,0,
30.82,27.92,60.77,20,152,0.36,0,
31.29,27.92,67.01,19,125,0.36,0,
31.37,28.61,66.5,19,162,0.34,0,
31.14,27.12,62.62,19,173,0.37,0,
32.51,29.03,49.78,19,177,0.36,0,
32.8,28.35,66,20,182,0.36,0,
33.38,29.53,65.51,20,184,0.35,0,
33.38,28.52,67.01,20,188,0.36,0,
34.08,28.78,67.01,20,190,0.35,0,
33.87,29.86,67.51,20,190,0.34,0,
34.63,29.86,24.68,20,190,0.35,0,
35.04,30.35,65.51,21,190,0.36,0,
35.5,30.75,69.06,21,190,0.36,0,
35.69,30.82,48.35,21,189,0.35,0,
36.2,30.98,70.11,21,189,0.35,0,
36.52,31.29,67.01,21,190,0.35,0,
36.83,31.6,70.11,21,190,0.35,0,
37.73,31.29,61.23,21,190,0.35,0,
37.9,31.83,67.01,21,190,0.33,0,
38.36,32.21,71.18,21,190,0.35,0,
38.7,32.43,158.75,21,190,0.34,0,
38.92,32.36,70.11,21,190,0.36,0,
39.46,33.66,69.58,21,190,0.35,0,
39.73,33.8,69.06,21,190,0.34,0,
39.68,33.66,157.6,21,190,0.34,0,
40.71,34.7,60.32,22,190,0.34,0,
41.15,33.52,76.79,21,190,0.35,0,
41.63,35.3,74.49,22,190,0.36,0,
41.3,35.17,70.11,22,190,0.37,0,
41.96,34.77,80.36,22,190,0.37,0,
42.37,34.63,162.22,22,190,0.35,0,
42.95,35.43,61.23,22,190,0.35,0,
42.77,36.14,68.54,22,190,0.35,0,
43.54,36.7,84.11,22,190,0.35,0,
44.08,36.89,75.63,22,190,0.36,0,
44.44,37.01,79.15,22,190,0.36,0,
44.75,36.76,140.23,22,190,0.35,0,
45.16,36.95,87.37,22,190,0.34,0,
45.28,38.02,79.76,22,190,0.34,0,
45.89,38.64,96.44,22,190,0.37,0,
45.93,38.64,96.44,22,190,0.35,0,
46.35,38.7,100.92,22,190,0.35,0,
46.95,39.03,102.46,22,190,0.35,0,
47.14,39.46,102.46,22,190,0.37,0,
47.4,39.68,89.39,22,189,0.33,0,
47.59,40.2,112.16,23,189,0.35,0,
48.11,40.51,120.89,23,189,0.34,0,
48.43,41,131.21,23,190,0.34,0,
48.72,41.15,129.28,23,189,0.35,0,
48.95,41.39,120.89,23,190,0.36,0,
49.09,41.63,126.43,23,189,0.35,0,
49.39,41.72,144.41,23,189,0.36,0,
49.66,42,148.69,23,190,0.35,0,
49.72,41.77,159.9,23,190,0.35,0,
50.19,42.64,164.58,23,189,0.34,0,
50.42,42.41,171.82,23,189,0.36,0,
50.75,43.12,176.79,23,189,0.35,0,
50.94,43.12,178.05,23,190,0.36,0,
51.33,43.5,140.23,23,189,0.37,0,
51.66,43.46,195.16,24,190,0.35,0,
51.97,44.16,209.22,23,190,0.36,0,
52.15,44.44,207.78,23,189,0.35,0,
52.45,44.59,206.34,23,190,0.35,0,
52.77,44.82,206.34,24,189,0.36,0,
52.99,44.82,249.66,23,189,0.34,0,
53.28,45.24,251.33,24,190,0.36,0,
53.52,45.5,266.77,24,190,0.35,0,
